step,liquidatorOrders,liquidations,liquidatedPositionNotional,stepLiquidatorRewardsPaid,stepLiquidationPenaltyCollected,stepMarginReturnedFromLiquidation,stepInsuranceFundOutflow,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
208,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
209,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
210,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
211,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
212,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
213,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
214,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
215,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
216,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
217,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
218,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
219,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
220,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
221,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
222,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
223,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
224,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
225,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
226,0,0,0.0,0.0,0.0,0.0,0.0,1066.328,1999.365,0.0,3993.988021
227,1,1,833.0,6.664,12.495,0.0,0.0,1072.992,2011.86,0.0,3993.988021
228,1,1,2007.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
229,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
230,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
231,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
232,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
233,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
234,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
235,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
236,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
237,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
238,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
239,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
240,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
241,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
242,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
243,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
244,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
245,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
246,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
247,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
