step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
72,2013.25,2409174.275589,400001.542061,999992.700255,0.0,0.121535,6,41,20,16,71,32,23,1,18.750,14.24,1.143,6.93,6.79,2.99,0
73,2010.47,2401946.780962,400001.441391,999992.622832,0.0,0.123057,5,40,21,13,70,23,16,0,21.739,14.46,1.143,6.48,5.10,4.32,0
74,2010.49,2394740.970923,400001.425758,999992.579735,0.0,0.124511,5,45,20,14,70,23,16,0,21.739,14.46,1.143,6.74,5.11,4.65,0
75,2007.82,2387556.779431,400001.477718,999992.468739,0.0,0.125983,5,38,21,12,70,25,18,0,20.000,14.40,1.143,7.61,4.65,3.22,0
76,2010.45,2380394.158094,400001.347159,999992.404009,0.0,0.127486,4,38,21,16,71,30,21,1,13.333,14.24,1.143,6.05,5.22,3.52,0
77,2013.80,2373253.008791,400001.342493,999992.362542,0.0,0.128957,5,41,21,15,70,23,16,0,21.739,14.37,1.143,6.74,7.11,3.68,0
78,2011.65,2366133.307906,400001.354548,999992.301831,0.0,0.130482,5,42,21,14,69,21,15,0,23.810,14.33,1.143,7.44,5.32,3.83,0
79,2013.80,2359034.925598,400001.285337,999992.149193,0.0,0.131929,7,44,21,12,71,36,26,1,19.444,14.48,1.143,7.80,6.86,3.23,0
80,2012.16,2351957.859589,400001.31453,999991.998714,0.0,0.13343,5,40,20,12,70,28,20,1,17.857,14.47,1.143,7.05,6.01,3.65,0
81,2014.28,2344902.027667,400001.292323,999991.932819,0.0,0.13492,5,41,21,13,71,30,21,1,16.667,14.38,1.143,6.92,7.27,4.09,0
82,2017.96,2337867.35442,400001.265656,999991.871217,0.0,0.136398,6,45,21,12,70,27,19,1,22.222,14.51,1.143,7.50,6.90,2.95,0
83,2015.23,2330853.792497,400001.130727,999991.747476,0.0,0.137855,5,39,21,15,71,30,21,1,16.667,14.29,1.143,6.85,6.44,3.03,0
84,2018.20,2323861.266768,400001.163631,999991.64171,0.0,0.139334,5,37,21,14,70,23,16,0,21.739,14.26,1.143,7.28,5.27,3.86,0
85,2021.80,2316889.720977,400001.014385,999991.568823,0.0,0.140784,6,44,21,13,72,36,26,1,16.667,14.20,1.143,6.62,6.76,4.55,0
86,2022.14,2309939.080922,400001.031094,999991.461607,0.0,0.142237,4,40,20,14,71,29,21,1,13.793,14.16,1.143,7.17,4.30,4.04,0
87,2018.20,2303009.305603,400000.940606,999991.296518,0.0,0.143714,5,37,21,14,69,22,16,0,22.727,14.01,1.143,6.61,4.67,3.44,0
88,2018.79,2296100.298158,400000.808826,999991.180917,0.0,0.145153,5,37,20,15,69,27,19,1,18.519,14.30,1.143,5.92,4.65,3.04,0
89,2020.45,2289212.036819,400000.922951,999991.033616,0.0,0.1466,5,42,20,13,69,28,20,1,17.857,14.35,1.143,7.98,4.66,4.31,0
90,2021.72,2282344.433303,400000.836031,999990.967613,0.0,0.148032,4,38,20,14,68,20,14,0,20.000,14.28,1.143,6.91,6.98,4.37,0
91,2022.56,2275497.451149,400000.859357,999990.909408,0.0,0.149483,5,43,20,13,67,22,16,0,22.727,14.53,1.143,6.45,6.09,3.86,0
92,2026.17,2268670.986423,400000.763714,999990.808258,0.0,0.150946,5,44,21,13,68,30,21,1,16.667,14.34,1.143,6.16,4.43,2.87,0
93,2028.70,2261864.995059,400000.664167,999990.720167,0.0,0.15234,5,38,21,14,70,36,26,1,13.889,14.22,1.143,6.04,5.52,3.19,0
94,2032.54,2255079.423718,400000.729628,999990.604087,0.0,0.153749,6,40,21,15,69,22,16,0,27.273,14.50,1.143,6.52,5.09,4.36,0
95,2035.63,2248314.222274,400000.684654,999990.465043,0.0,0.155155,6,40,21,13,69,23,16,0,26.087,14.64,1.143,7.07,5.45,3.35,0
96,2035.45,2241569.303987,400000.509203,999990.364163,0.0,0.156535,6,45,20,14,68,21,15,0,28.571,14.51,1.143,7.86,5.05,3.20,0
97,2034.63,2234844.629133,400000.489048,999990.263736,0.0,0.157918,6,41,20,11,68,29,21,1,20.690,14.28,1.143,6.41,4.35,3.88,0
98,2032.49,2228140.117596,400000.367979,999990.114942,0.0,0.159328,6,43,21,17,70,34,24,1,17.647,14.13,1.143,6.36,5.54,2.99,0
99,2030.46,2221455.723197,400000.508592,999990.063613,0.0,0.160691,4,43,20,16,70,25,18,0,16.000,13.98,1.143,7.17,4.87,4.03,0
