step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
70,2016.55,2423695.660242,399999.014221,999986.485365,0.0,0.12313,8,47,26,20,86,29,21,1,27.586,16.97,1.143,7.15,6.15,3.08,0
71,2012.53,2416424.636594,399998.933108,999986.192472,0.0,0.124705,9,50,27,15,89,46,33,1,19.565,16.84,1.143,6.85,6.68,3.48,0
72,2013.25,2409175.419305,399998.815247,999986.011322,0.0,0.126294,8,47,25,20,90,40,29,1,20.000,16.74,1.143,7.07,6.97,3.15,0
73,2010.47,2401947.934944,399998.683143,999985.858272,0.0,0.127889,7,46,26,16,88,28,20,1,25.000,16.96,1.143,6.63,5.29,4.48,0
74,2010.49,2394742.136594,399998.670982,999985.772877,0.0,0.129386,7,51,25,18,86,29,21,1,24.138,16.96,1.143,6.89,5.30,4.81,0
75,2007.82,2387557.956867,399998.672666,999985.553541,0.0,0.130911,7,44,26,16,85,30,21,1,23.333,16.90,1.143,7.75,4.83,3.38,0
76,2010.45,2380395.355799,399998.499956,999985.416011,0.0,0.132483,6,44,26,21,86,37,26,1,16.216,16.74,1.143,6.20,5.41,3.68,0
77,2013.80,2373254.219016,399998.493582,999985.345578,0.0,0.134009,6,47,26,19,84,29,21,1,20.690,16.87,1.143,6.88,7.30,3.84,0
78,2011.65,2366134.542741,399998.459525,999985.2253,0.0,0.135618,7,48,26,18,82,26,18,1,26.923,16.83,1.143,7.58,5.51,4.00,0
79,2013.80,2359036.165285,399998.367513,999984.948744,0.0,0.137114,9,51,26,15,85,45,32,1,20.000,16.98,1.143,7.97,7.08,3.42,0
80,2012.16,2351959.117268,399998.312704,999984.651784,0.0,0.138703,7,46,26,15,85,37,27,1,18.919,16.97,1.143,7.19,6.20,3.81,0
81,2014.28,2344903.301808,399998.269492,999984.521358,0.0,0.140266,7,48,26,16,85,37,27,1,18.919,16.88,1.143,7.09,7.49,4.28,0
82,2017.96,2337868.642565,399998.223662,999984.40539,0.0,0.141821,8,51,27,16,85,34,24,1,23.529,17.01,1.143,7.64,7.08,3.11,0
83,2015.23,2330855.096274,399998.046385,999984.160669,0.0,0.143338,7,45,26,19,86,38,27,1,18.421,16.79,1.143,6.99,6.62,3.19,0
84,2018.20,2323862.583949,399998.026548,999983.951351,0.0,0.144891,7,44,26,18,84,29,21,1,24.138,16.76,1.143,7.45,5.49,4.05,0
85,2021.80,2316891.052669,399997.861009,999983.813773,0.0,0.146402,8,51,26,17,87,45,32,1,17.778,16.70,1.143,6.78,6.98,4.74,0
86,2022.14,2309940.423173,399997.823385,999983.586154,0.0,0.147921,6,46,25,18,87,36,26,1,16.667,16.66,1.143,7.32,4.48,4.20,0
