step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,marginPoolBalance,stepMarginPoolInflow,stepMarginPoolOutflow,marginPoolInflow,marginPoolOutflow,stepMakerFeesCollected,stepTakerFeesCollected,makerFeeBpsEffective,takerFeeBpsEffective,stepProtocolLiquidationIncome,protocolLiquidationIncome,stepInsuranceFundInflow,stepFundingFeesTransferred,liquidationRemainingMarginAvg,liquidationRemainingMarginMin,liquidationRemainingMarginMax,liquidationRemainingMarginPctAvg,liquidationRemainingMarginPctMin,liquidationRemainingMarginPctMax,isInsolvent
37,2075.64,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,2,17,0,6,4,2,0.000,4.88,1.295,43.49,26.00,17.00,64727.261459,0.0,35.0025,0.0,20261.463041,11.6675,23.335,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
38,2091.04,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,74.21,44.00,29.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
39,2068.38,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,108.39,65.00,43.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
40,2073.20,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,23.34,14.00,9.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
41,2083.28,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,48.61,29.00,19.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
42,2105.13,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,104.87,62.00,41.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
43,2081.73,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,111.13,66.00,44.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
44,2084.96,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,15.51,9.00,6.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
45,2105.08,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,96.48,57.00,38.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
46,2109.49,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,20.98,12.00,8.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
