step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
46,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
47,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
48,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
49,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
50,2000.00,0.0,90000.0,83638.8995,0.0,362.8415,51.8345,103.669,0.0,83638.8995,0.0,0,0,103.669,207.338,0.0,0,0,0,0,6,0,6,0.000,8.01,0.000,0.00,0.00,0.00,0
51,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,2,2,104.213,208.426,0.0,0,1,0,0,6,2,4,33.333,7.91,0.000,0.00,0.00,0.00,0
52,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
53,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
54,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
55,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
