step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
35,2015.25,2692446.887076,393432.607298,983570.216809,0.0,7435.682579,2788.380957,4647.301606,58406.033822,20978.052073,37407.835264,6,11,1274.050963,2388.845571,155593.475945,45,21,13,70,26,18,1,23.077,14.45,1.143,6.14,6.54,2.77,0
36,2011.23,2684369.58192,392880.577882,982190.230221,0.0,7650.396373,2868.898629,4781.497727,59939.959037,21580.421655,39390.191434,5,9,1309.029681,2454.430667,159865.251919,38,21,16,70,28,20,1,17.857,14.62,1.143,6.38,5.06,4.23,0
37,2012.69,2676316.49338,393046.924849,982606.016123,0.0,7791.621835,2921.858177,4869.763641,61469.282491,21996.207557,39390.191434,7,12,1342.481545,2517.152913,163950.560899,45,20,16,71,33,24,1,21.212,14.78,1.143,7.19,6.15,3.93,0
38,2015.18,2668287.590491,393354.660878,983375.297811,0.0,8059.915411,3022.468268,5037.447126,62994.017965,22765.489245,39390.191434,6,10,1395.040343,2615.70066,170369.304218,40,21,13,72,35,25,1,17.143,14.58,1.143,7.04,6.81,3.27,0
39,2011.54,2660282.764427,393232.255706,983069.487206,0.0,8264.913886,3099.342696,5165.571172,64514.179271,23352.983354,40283.496148,6,10,1435.039234,2690.698581,175254.168819,40,21,12,72,32,23,1,18.750,14.64,1.143,7.86,4.58,3.15,0
40,2012.32,2652301.940244,393438.936846,983585.934635,0.0,8447.711603,3167.891839,5279.819745,66029.78009,23869.430783,40283.496148,5,9,1466.747573,2750.151717,179126.549756,38,20,12,70,20,14,0,25.000,14.41,1.143,7.28,6.75,3.26,0
41,2013.95,2644345.082481,393245.273167,983101.980658,0.0,8703.055868,3263.645938,5439.40991,67540.834115,24590.32972,41488.349062,5,10,1510.767986,2832.689991,184502.542722,43,20,12,72,34,24,1,14.706,14.50,1.143,7.41,5.79,3.27,0
42,2017.47,2636412.075604,393453.536083,983622.644472,0.0,8959.786329,3359.919861,5599.866448,69047.354979,25325.885979,41703.241507,6,10,1560.757375,2926.420095,190607.496866,39,21,16,72,32,23,1,18.750,14.67,1.143,7.09,4.47,3.27,0
43,2013.73,2628502.873862,392560.253215,981389.491106,0.0,9235.339082,3463.252143,5772.086919,70549.356292,26114.904846,44725.41374,6,10,1614.163766,3026.557078,197129.752367,39,21,14,71,29,21,1,20.690,14.74,1.143,7.06,5.68,4.35,0
44,2014.25,2620617.388432,392174.744691,980425.540897,0.0,9417.604275,3531.60159,5886.002665,72046.851621,26641.783639,46216.242742,6,10,1652.14553,3097.772887,201768.275395,39,20,12,71,31,22,1,19.355,14.40,1.143,6.93,6.57,3.47,0
45,2017.49,2612755.576973,392414.64223,981025.620656,0.0,9626.835876,3610.06344,6016.772415,73539.854483,27241.863398,46216.242742,6,11,1693.2126,3174.773643,206783.591359,42,21,12,72,35,25,1,17.143,14.56,1.143,7.02,4.92,2.86,0
46,2018.20,2604917.360714,391370.956288,978416.422085,0.0,9856.904011,3696.33899,6160.564999,75028.378349,27905.160702,49488.738617,6,11,1740.213649,3262.90061,212523.594486,43,20,13,73,34,24,1,17.647,14.68,1.143,7.09,6.72,3.56,0
